Simulation Number,Story ID,Initial Framing,Input type,Mode,Role selection,Current Agent ID,Transferred From Agent ID,Role,Original Message,Message,Similarity To Previous,Global Similarity To Original,Sentiment Analysis,Propagation Depth
1,0,centre,headline,text,random,21,23,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A horrific rampage of gunfire claimed the lives of at least 17 innocent victims, including a mere child, just 7 years old, amidst the already chaotic and explosive atmosphere of the Independence Day holiday weekend.",0.789299488067627,0.7314491271972656,"{'label': 'negative', 'confidence': 0.8998200297355652}",4
1,0,centre,headline,text,random,13,23,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A shocking and tragic wave of gunfire swept through the Fourth of July celebrations, claiming at least 17 lives and leaving a trail of grief, including the heartbreaking loss of a 7-year-old girl who should have been celebrating her childhood instead of falling victim to senseless violence.",0.7093467116355896,0.7845187187194824,"{'label': 'negative', 'confidence': 0.9066565632820129}",4
1,0,centre,headline,text,random,29,11,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On a day meant to celebrate freedom and unity, a senseless wave of violence ravaged the city on Independence Day, resulting in the devastating loss of no fewer than 17 innocent lives, with the heartbreaking added toll of a 7-year-old child's premature and tragic death.",0.8320943117141724,0.5559497475624084,"{'label': 'negative', 'confidence': 0.8919403553009033}",4
1,0,centre,headline,text,random,14,12,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On what should have been a joyful celebration of freedom and community on Independence Day, a senseless tragedy unfolded as multiple shootings marred the festivities, claiming at least 17 innocent lives. Amidst this heartbreaking chaos, one victim stood out - a young 7-year-old who had only just begun to explore the world's wonders, now tragically silenced far too soon.",0.8771919012069702,0.6023977398872375,"{'label': 'negative', 'confidence': 0.8180448412895203}",4
1,0,centre,headline,text,random,20,12,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On what should have been a celebratory day filled with patriotism and joy, a devastating chain of events unfolded as multiple senseless shootings marred the Independence Day festivities, claiming at least 17 innocent lives. The most heartbreaking loss was that of a young boy, just 7 years old, who was full of promise and only beginning to explore the world around him.",0.9141314625740051,0.62753826379776,"{'label': 'negative', 'confidence': 0.7241777181625366}",4
1,0,centre,headline,text,random,34,33,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A tragic and senseless outbreak of violence tainted what was supposed to be a joyful celebration on Independence Day, leaving behind a staggering toll of at least 17 fatalities, including a heartbreaking loss that claimed the innocent life of a 7-year-old child.",0.7928918600082397,0.6240661144256592,"{'label': 'negative', 'confidence': 0.9175145626068115}",5
1,0,centre,headline,text,random,31,33,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A horrific outbreak of violence tainted the typically joyful Fourth of July celebrations, resulting in the tragic loss of at least 17 innocent lives, including a young and vulnerable 7-year-old girl who was senselessly taken from her loved ones.",0.9382385015487671,0.7213996648788452,"{'label': 'negative', 'confidence': 0.9129405617713928}",5
1,0,centre,headline,text,random,18,22,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A devastating outbreak of indiscriminate gun violence claimed the lives of at least 17 individuals, with heartbreaking consequences for a family who lost their young 7-year-old son in the tragedy, leaving a somber mood to overshadow what was meant to be a joyous and celebratory Fourth of July weekend.",0.815700888633728,0.7863916754722595,"{'label': 'negative', 'confidence': 0.8914341926574707}",5
1,0,centre,headline,text,random,25,24,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Multiple shootings broke out on the Fourth of July weekend, leaving at least 17 people dead and including a young girl who was just 7 years old.",0.8276112079620361,0.8181320428848267,"{'label': 'negative', 'confidence': 0.8572847247123718}",5
1,0,centre,headline,text,random,26,24,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A shooting occurred on or around July 4th, leaving 17 people dead, including a 7-year-old child.",0.7992101907730103,0.8270830512046814,"{'label': 'negative', 'confidence': 0.8323783278465271}",5
1,0,centre,headline,text,random,32,24,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A deadly shooting incident took place during the Fourth of July holiday weekend, leaving at least 17 people dead, including a 7-year-old child.",0.8387980461120605,0.8243721723556519,"{'label': 'negative', 'confidence': 0.8497527837753296}",5
1,0,centre,headline,text,random,19,24,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl",At least 17 people died in a mass shooting that took place during the Fourth of July celebrations. Among the victims was a 7-year-old child.,0.7808429598808289,0.7853631377220154,"{'label': 'negative', 'confidence': 0.9088879823684692}",5
1,0,centre,headline,text,random,28,29,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Tragically, the usually joyous celebration of Independence Day was marred by a horrific outbreak of violence that claimed at least 17 innocent victims, including a 7-year-old child who lost their life far too soon.",0.8775811791419983,0.6104354858398438,"{'label': 'negative', 'confidence': 0.910240113735199}",5
1,0,centre,headline,text,random,27,29,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On what was supposed to be a day for celebrating freedom and unity, a horrific outbreak of violence shook the city on Independence Day, claiming the lives of at least 17 completely defenseless people, including a 7-year-old who was tragically taken away far too soon.",0.9587298631668091,0.555768609046936,"{'label': 'negative', 'confidence': 0.8559533953666687}",5
1,0,centre,headline,text,random,15,14,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On what was meant to be a joyful celebration of freedom and community on Independence Day, a shocking tragedy occurred as multiple shootings disrupted the festivities, resulting in at least 17 innocent lives lost. Amidst this devastating chaos, one victim shone with heartbreaking courage - a bright young girl, just 7 years old, whose life had barely begun, was tragically cut short far too soon, leaving behind a community in mourning and a sense of outrage that demands action to prevent such tragedies from happening again.",0.9174277782440186,0.5790401101112366,"{'label': 'negative', 'confidence': 0.79032963514328}",5
1,0,centre,headline,text,random,30,31,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","During Independence Day celebrations, there was an incident that turned violent, claiming at least 17 lives, among them a 7-year-old girl who died in the event.",0.8337171673774719,0.6576806902885437,"{'label': 'negative', 'confidence': 0.8217259049415588}",6
1,0,centre,headline,text,random,17,18,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A senseless shooting rampage on the Fourth of July left at least 17 people dead, with one family facing unimaginable grief after losing their young 7-year-old son in the tragedy. The community is coming together to support those affected, but the shockwaves from this horrific event will undoubtedly cast a shadow over what was meant to be a joyful and festive holiday weekend.",0.8002163767814636,0.6962182521820068,"{'label': 'negative', 'confidence': 0.8683604001998901}",6
1,0,centre,headline,text,random,16,18,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A horrific incident of senseless gun violence resulted in the loss of at least 17 lives, with a devastating impact on the family who lost their precious 7-year-old son, casting a shadow over what was intended to be a joyful and festive Fourth of July celebration for the community.",0.9045766592025757,0.7701101899147034,"{'label': 'negative', 'confidence': 0.8763928413391113}",6
2,0,left,headline,text,random,1,0,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence in Chicago has surged, with a disproportionate number of young people being affected.",0.8916246294975281,0.8916246294975281,"{'label': 'negative', 'confidence': 0.866251528263092}",1
2,0,left,headline,text,random,39,0,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence in Chicago has surged, with a growing number of younger victims being affected.",0.9156546592712402,0.9156546592712402,"{'label': 'negative', 'confidence': 0.8265009522438049}",1
2,0,left,headline,text,random,2,0,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent Crime Rises in Chicago, with More Minors Being Affected.",0.7768397331237793,0.7768397331237793,"{'label': 'negative', 'confidence': 0.8413650393486023}",1
2,0,left,headline,text,random,3,1,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is experiencing a devastating surge in gun-related violence, disproportionately impacting its youngest residents and leaving a trail of devastation in its wake.",0.9233015179634094,0.8545459508895874,"{'label': 'negative', 'confidence': 0.9251108169555664}",2
2,0,left,headline,text,random,38,39,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime involving guns in Chicago has increased, particularly among younger people.",0.8566914796829224,0.8013932704925537,"{'label': 'negative', 'confidence': 0.5809203386306763}",2
2,0,left,headline,text,random,37,39,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence is on the rise in Chicago, particularly among young people.",0.9157483577728271,0.8566564321517944,"{'label': 'negative', 'confidence': 0.7799236178398132}",2
2,0,left,headline,text,random,32,2,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime Surges in Chicago, with Increasing Numbers of Children Falling Victim to Violence.",0.8649848699569702,0.726708173751831,"{'label': 'negative', 'confidence': 0.7628018856048584}",2
2,0,left,headline,text,random,4,3,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"A wave of heartbreaking gun violence has swept through Chicago, hitting the city's most vulnerable population - its children - with alarming frequency, and causing irreparable harm to families and communities across the city.",0.8763689398765564,0.7866255044937134,"{'label': 'negative', 'confidence': 0.9169877171516418}",3
2,0,left,headline,text,random,5,3,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Despite facing numerous challenges, Chicago is taking steps to address a growing concern: an uptick in gun violence, which has been affecting a disproportionate number of young people and causing widespread harm across the city.",0.9151436686515808,0.7975941896438599,"{'label': 'negative', 'confidence': 0.7123172283172607}",3
2,0,left,headline,text,random,26,38,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun-related crimes are on the rise in Chicago, especially among its youth population, highlighting a pressing concern that requires immediate attention and collective efforts to address it.",0.8627890944480896,0.7834176421165466,"{'label': 'negative', 'confidence': 0.7208814024925232}",3
2,0,left,headline,text,random,36,37,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is experiencing a surge in gun-related incidents, with an alarming number of shootings occurring in the city's youth population.",0.8984703421592712,0.8272891640663147,"{'label': 'negative', 'confidence': 0.770348846912384}",3
2,0,left,headline,text,random,35,37,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Homicides committed with firearms are increasingly common in Chicago, especially among adolescents and teenagers.",0.901060938835144,0.7842935919761658,"{'label': 'negative', 'confidence': 0.7201255559921265}",3
2,0,left,headline,text,random,31,32,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent crime has increased in Chicago, with a growing number of minors being affected.",0.860063374042511,0.770805835723877,"{'label': 'negative', 'confidence': 0.8460361957550049}",3
2,0,left,headline,text,random,33,32,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent crime rates have risen in Chicago, with a notable increase in instances where children have been affected by violence.",0.9231942296028137,0.7539351582527161,"{'label': 'negative', 'confidence': 0.8580741286277771}",3
2,0,left,headline,text,random,34,32,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent crime has increased in Chicago, with a growing number of children being affected by violence.",0.9104142785072327,0.7551038265228271,"{'label': 'negative', 'confidence': 0.8787262439727783}",3
2,0,left,headline,text,random,28,32,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent crime is rising in Chicago, with a notable increase in children being affected by violence.",0.9287799596786499,0.7589951157569885,"{'label': 'negative', 'confidence': 0.8731697201728821}",3
2,0,left,headline,text,random,6,4,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence in Chicago has been a persistent issue, with a disproportionate impact on young people and their families.",0.8654712438583374,0.8343038558959961,"{'label': 'negative', 'confidence': 0.8715421557426453}",4
2,0,left,headline,text,random,7,5,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is proactively addressing a pressing issue: rising gun violence, which disproportionately affects its youth and has left a trail of devastation throughout the community, despite the many obstacles that need to be overcome.",0.9394868612289429,0.7680313587188721,"{'label': 'negative', 'confidence': 0.6025432348251343}",4
2,0,left,headline,text,random,25,26,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is experiencing an unfortunate surge in gun-related incidents, particularly among young people, sparking a critical need for community-wide initiatives and collaborative solutions to tackle this growing issue head-on.",0.9240316152572632,0.7592145204544067,"{'label': 'negative', 'confidence': 0.7513795495033264}",4
2,0,left,headline,text,random,14,26,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is experiencing a concerning surge in gun violence, particularly among young people, sparking a sense of urgency for community leaders and authorities to come together and develop effective solutions to prevent these incidents and support those affected by them.",0.9094375371932983,0.79815673828125,"{'label': 'negative', 'confidence': 0.5848132967948914}",4
2,0,left,headline,text,random,13,26,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime rates involving guns in Chicago have seen an alarming increase, particularly among young residents, underscoring a critical issue that demands urgent action and collaborative solutions from the community at large.",0.945273220539093,0.7777475118637085,"{'label': 'negative', 'confidence': 0.7371000647544861}",4
2,0,left,headline,text,random,29,36,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago has seen an increase in gun violence, particularly affecting young people.",0.925764799118042,0.8716921806335449,"{'label': 'negative', 'confidence': 0.7605386972427368}",4
2,0,left,headline,text,random,30,31,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime rates have surged in Chicago, but there's also a disturbing trend emerging: a rise in violent incidents involving young people who deserve our support and protection.",0.7859400510787964,0.7368851900100708,"{'label': 'negative', 'confidence': 0.8511224389076233}",4
2,0,left,headline,text,random,11,33,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime rates involving violent offenses have increased in Chicago, with a notable spike in cases involving minors being impacted by violence.",0.9465104341506958,0.7493422031402588,"{'label': 'negative', 'confidence': 0.7538110613822937}",4
2,0,left,headline,text,random,23,34,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Concerning trends have been observed in Chicago, where rising rates of violent crime are impacting an alarming number of young lives.",0.8163292407989502,0.7034462690353394,"{'label': 'negative', 'confidence': 0.8112815022468567}",4
2,0,left,headline,text,random,27,28,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime rates are increasing in Chicago, with a significant rise in violent incidents involving minors.",0.9125665426254272,0.7377748489379883,"{'label': 'negative', 'confidence': 0.7609289884567261}",4
2,0,left,headline,text,random,8,28,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Crime rates are increasing in Chicago, with a significant uptick in violent incidents involving minors.",0.9066237807273865,0.7301851511001587,"{'label': 'negative', 'confidence': 0.7723915576934814}",4
2,0,left,headline,text,random,9,7,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is struggling to cope with a persistent problem: skyrocketing gun violence that's ravaging neighborhoods, particularly targeting young people, leaving a bleak aftermath in its wake.",0.8909448385238647,0.7759305834770203,"{'label': 'negative', 'confidence': 0.9258918762207031}",5
2,0,left,headline,text,random,18,7,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is struggling to cope with a growing crisis: skyrocketing gun violence, which is having a devastating impact on its young people, leaving a trail of destruction and despair in its wake, amidst a multitude of daunting challenges.",0.8993108868598938,0.7472836971282959,"{'label': 'negative', 'confidence': 0.9147276878356934}",5
2,0,left,headline,text,random,24,25,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence in Chicago has increased, with a disproportionate impact on younger residents. The city is now facing a pressing need for collective efforts to address this problem.",0.9463315010070801,0.8024960160255432,"{'label': 'negative', 'confidence': 0.8149487972259521}",5
2,0,left,headline,text,random,19,25,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago has seen a rise in gun-related incidents, with a concerning number involving young people, prompting the need for community-based efforts to address the problem.",0.9339889883995056,0.8086710572242737,"{'label': 'negative', 'confidence': 0.7248901128768921}",5
2,0,left,headline,text,random,12,14,neutral,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence is rising in Chicago, especially affecting younger residents, prompting local leaders and officials to work together on addressing this issue and helping its victims.",0.9148170948028564,0.8430153727531433,"{'label': 'neutral', 'confidence': 0.5392134189605713}",5
2,0,left,headline,text,random,16,14,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun violence is rising in Chicago, with many young people getting hurt or killed, prompting community leaders and officials to work together on ways to stop it from happening again and help those who have been affected.",0.9012895226478577,0.8175128698348999,"{'label': 'negative', 'confidence': 0.8069248199462891}",5
2,0,left,headline,text,random,15,13,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Gun-related crimes are on the rise in Chicago, with a disturbing surge of violence involving firearms, especially amongst juveniles, highlighting a grave problem that necessitates swift and collective intervention from the community.",0.9396486878395081,0.7964111566543579,"{'label': 'negative', 'confidence': 0.8850182890892029}",5
2,0,left,headline,text,random,10,11,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Violent crime rates have risen in Chicago, with a significant increase in incidents affecting children and teenagers.",0.9558151960372925,0.7718117237091064,"{'label': 'negative', 'confidence': 0.8079398274421692}",5
2,0,left,headline,text,random,21,23,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Concerning reports are emerging from Chicago, where a disturbing uptick in violent crime is unfortunately affecting far too many young individuals and their families.",0.9190152287483215,0.7400808334350586,"{'label': 'negative', 'confidence': 0.9042936563491821}",5
2,0,left,headline,text,random,17,23,positive,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is facing a concerning surge in violent crime, with a notable spike in incidents that's affecting far too many young people and their families.",0.8761683106422424,0.7806516289710999,"{'label': 'negative', 'confidence': 0.8978405594825745}",5
2,0,left,headline,text,random,22,18,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is facing a challenging situation as it grapples with an alarming increase in gun-related incidents, which is taking a heavy toll on the city's youth, sparking concerns about the well-being and safety of its most vulnerable residents amidst a complex array of issues that need to be addressed.",0.9348658919334412,0.7247340679168701,"{'label': 'negative', 'confidence': 0.7797946333885193}",6
2,0,left,headline,text,random,20,19,negative,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"Chicago is experiencing an unfortunate surge in gun violence, particularly among its youth, but there's hope on the horizon as community leaders are stepping up with innovative solutions to tackle this complex issue and make their neighborhoods safer.",0.888077437877655,0.7675831913948059,"{'label': 'neutral', 'confidence': 0.5562353730201721}",6
3,0,right,headline,text,random,1,0,positive,Dozens of shootings across US mark bloody July 4th weekend,Violence erupts over Independence Day weekend with numerous shooting incidents reported across the United States.,0.624904990196228,0.624904990196228,"{'label': 'negative', 'confidence': 0.7716661095619202}",1
3,0,right,headline,text,random,39,0,neutral,Dozens of shootings across US mark bloody July 4th weekend,"At least dozens of people were shot in various locations across the United States over a four-day period, which ended on Independence Day.",0.7039781808853149,0.7039781808853149,"{'label': 'negative', 'confidence': 0.7208578586578369}",1
3,0,right,headline,text,random,2,0,positive,Dozens of shootings across US mark bloody July 4th weekend,A series of shootings took place across the United States over the Independence Day holiday weekend.,0.7238885164260864,0.7238885164260864,"{'label': 'negative', 'confidence': 0.6262860894203186}",1
3,0,right,headline,text,random,38,0,negative,Dozens of shootings across US mark bloody July 4th weekend,At least dozens of shooting incidents occurred throughout the United States over the Fourth of July holiday weekend.,0.8192527890205383,0.8192527890205383,"{'label': 'negative', 'confidence': 0.5870067477226257}",1
3,0,right,headline,text,random,3,1,positive,Dozens of shootings across US mark bloody July 4th weekend,"A surge in violent incidents occurred during the busy Independence Day weekend, with multiple reports of shootings happening across the country.",0.868086576461792,0.6119822263717651,"{'label': 'negative', 'confidence': 0.6383352279663086}",2
